price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,type,vehicle_age,price_tier
15000,2013.0,ford,excellent,6 cylinders,gas,128000.0,automatic,rwd,truck,10.0,mid
27990,2012.0,gmc,good,8 cylinders,gas,68696.0,other,4wd,pickup,11.0,premium
34590,2016.0,chevrolet,good,6 cylinders,gas,29499.0,other,4wd,pickup,7.0,premium
35000,2019.0,toyota,excellent,6 cylinders,gas,43000.0,automatic,4wd,truck,4.0,premium
29990,2016.0,chevrolet,good,6 cylinders,gas,17302.0,other,4wd,pickup,7.0,premium
38590,2011.0,chevrolet,good,8 cylinders,gas,30237.0,other,rwd,other,12.0,premium
32990,2017.0,jeep,good,6 cylinders,gas,30041.0,other,4wd,other,6.0,premium
30990,2016.0,chevrolet,good,,other,34940.0,other,4wd,pickup,7.0,premium
37990,2016.0,chevrolet,good,8 cylinders,gas,9704.0,other,rwd,coupe,7.0,premium
27990,2018.0,nissan,good,6 cylinders,gas,37332.0,other,4wd,pickup,5.0,premium
32990,2020.0,jeep,good,,gas,20581.0,other,4wd,SUV,3.0,premium
31590,2020.0,other,good,,gas,2195.0,other,rwd,other,3.0,premium
31590,2019.0,other,good,,other,12102.0,other,fwd,hatchback,4.0,premium
19900,2004.0,ford,good,8 cylinders,diesel,88000.0,automatic,4wd,pickup,19.0,mid
16590,2016.0,jeep,good,,gas,35835.0,other,4wd,other,7.0,mid
14000,2012.0,honda,excellent,6 cylinders,gas,95000.0,automatic,fwd,mini-van,11.0,mid
34990,2018.0,ford,good,8 cylinders,gas,18650.0,other,rwd,other,5.0,premium
22500,2001.0,ford,good,8 cylinders,diesel,144700.0,manual,rwd,truck,22.0,mid
31990,2013.0,toyota,good,8 cylinders,gas,55068.0,other,4wd,pickup,10.0,premium
29990,2014.0,chevrolet,good,8 cylinders,gas,26129.0,other,4wd,pickup,9.0,premium
33990,2017.0,jeep,good,6 cylinders,other,34152.0,other,4wd,SUV,6.0,premium
15000,2017.0,dodge,excellent,8 cylinders,gas,90000.0,automatic,rwd,sedan,6.0,mid
26590,2020.0,honda,good,,gas,9954.0,other,fwd,coupe,3.0,premium
18590,2018.0,honda,good,,gas,28942.0,other,fwd,sedan,5.0,mid
29590,2017.0,ford,good,6 cylinders,gas,70760.0,other,4wd,SUV,6.0,premium
21590,2018.0,honda,good,,gas,7885.0,other,fwd,sedan,5.0,mid
33990,2020.0,jeep,good,6 cylinders,gas,9859.0,other,4wd,other,3.0,premium
29990,2012.0,toyota,good,6 cylinders,gas,43182.0,other,4wd,pickup,11.0,premium
34990,2020.0,other,good,,gas,1722.0,other,fwd,hatchback,3.0,premium
3000,2004.0,other,good,6 cylinders,gas,176144.0,automatic,fwd,mini-van,19.0,budget
31990,2020.0,other,good,,gas,16594.0,other,fwd,sedan,3.0,premium
28590,2019.0,other,good,,gas,18531.0,other,fwd,sedan,4.0,premium
29590,2018.0,other,good,,gas,13035.0,other,fwd,sedan,5.0,premium
16590,2015.0,hyundai,good,,gas,26655.0,other,fwd,sedan,8.0,mid
33990,2017.0,ram,good,8 cylinders,gas,17033.0,other,4wd,pickup,6.0,premium
36590,2019.0,gmc,good,8 cylinders,gas,14222.0,other,4wd,pickup,4.0,premium
40590,2019.0,ford,good,8 cylinders,other,9313.0,other,4wd,pickup,4.0,premium
33990,2018.0,jeep,good,6 cylinders,gas,34636.0,other,4wd,other,5.0,premium
43990,2019.0,jeep,good,,gas,4362.0,other,4wd,SUV,4.0,premium
38990,2017.0,jeep,good,6 cylinders,gas,20676.0,other,4wd,other,6.0,premium
39590,2018.0,jeep,good,6 cylinders,gas,21893.0,other,4wd,SUV,5.0,premium
9500,2003.0,other,excellent,6 cylinders,gas,30376.0,automatic,fwd,mini-van,20.0,budget
28590,2018.0,gmc,good,6 cylinders,gas,20736.0,other,fwd,SUV,5.0,premium
16590,2013.0,other,good,,gas,61087.0,other,fwd,sedan,10.0,mid
28990,2017.0,gmc,good,6 cylinders,gas,18041.0,other,fwd,SUV,6.0,premium
20590,2017.0,other,good,,gas,36436.0,other,fwd,sedan,6.0,mid
26990,2015.0,other,good,,gas,29738.0,other,fwd,hatchback,8.0,premium
26990,2016.0,other,good,,gas,31363.0,other,fwd,hatchback,7.0,premium
17500,2008.0,toyota,good,6 cylinders,gas,201300.0,manual,4wd,offroad,15.0,mid
6000,2007.0,other,good,6 cylinders,diesel,124000.0,automatic,rwd,sedan,16.0,budget
38990,2020.0,other,good,6 cylinders,gas,5279.0,other,fwd,other,3.0,premium
18590,2018.0,hyundai,good,,gas,22075.0,other,fwd,sedan,5.0,mid
4000,2006.0,jeep,good,6 cylinders,gas,281000.0,automatic,rwd,SUV,17.0,budget
32990,2019.0,jeep,good,6 cylinders,other,1423.0,other,4wd,SUV,4.0,premium
27590,2012.0,jeep,good,6 cylinders,gas,52172.0,other,4wd,SUV,11.0,premium
